"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48","testPokemonApiReturnsUrls","Surefire suite","2025-10-10","passed","2025-10-10","tests.PokemonTest","Surefire test","tests.PokemonTest","testPokemonApiReturnsUrls"
"","762","validateMyPersonalInformation","Surefire suite","2025-10-10","passed","2025-10-10","tests.LoginTest","Surefire test","tests.LoginTest","validateMyPersonalInformation"
"","256","testWithTestcontainers","Surefire suite","2025-10-10","broken","2025-10-10","tests.TestcontainersSeleniumTest","Surefire test","tests.TestcontainersSeleniumTest","testWithTestcontainers"
"","2554","launchDriver","Surefire suite","2025-10-10","passed","2025-10-10","tests.DriverManagerTest","Surefire test","tests.DriverManagerTest","launchDriver"
"","0","validateJsplaceholderData","Surefire suite","2025-10-10","skipped","2025-10-10","tests.JsplaceholderTest","Surefire test","tests.JsplaceholderTest","validateJsplaceholderData"
"","0","launchApp","Surefire suite","2025-10-10","broken","2025-10-10","tests.JsplaceholderTest","Surefire test","tests.JsplaceholderTest","launchApp"
"","41","testPokemonApiReturnsUrls","Surefire suite","2025-10-10","passed","2025-10-10","tests.PokemonTest","Surefire test","tests.PokemonTest","testPokemonApiReturnsUrls"
"","1577","testPokemonApiReturnsUrls","Surefire suite","2025-10-10","passed","2025-10-10","tests.PokemonTest","Surefire test","tests.PokemonTest","testPokemonApiReturnsUrls"
